Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
200,ELET6,LREN3,0.017039452471566,95,0.6888235242535147,20,0.3936500201535483,0.7946715068757996,0.04779195957009545,Short/Long,6,"100,120,140,160,180,200"
200,ELET6,MRVE3,0.04335774491102416,95,1.7807818122245105,19,0.46955976561413987,0.7818018875286928,0.47258667173416113,Long/Short,5,"100,120,140,160,200"
200,ELET6,MULT3,0.02100770435569626,95,0.9936719409309934,30,0.46026376451882917,0.7286527732974186,0.2283001004804112,Short/Long,3,"160,180,200"
200,ELET6,PETR3,0.0065928165569731165,99,0.8795001866004909,17,0.4557164173149744,0.8450125374509159,0.07201895555258352,Long/Short,6,"100,120,140,160,180,200"
200,ELET6,PETR4,0.007952661295218672,99,0.9834496456596228,21,0.4619762600767114,0.8191550114775766,0.1005003783397404,Long/Short,6,"100,120,140,160,180,200"
200,ELET6,QUAL3,0.034101635321334485,95,0.676355726802363,45,0.4829000830277666,0.469581525419731,0.3237189126226838,Long/Short,4,"140,160,180,200"
120,ELET6,RADL3,0.03852237376361691,95,0.6303610451668527,32,0.5633351479212976,-0.20439348516741246,0.3373611482651379,Long/Short,2,"100,120"
180,ELET6,RENT3,0.03294680751384998,95,0.6547834792704889,21,0.38241226794845967,0.7977992895785905,0.4101278209074481,Long/Short,5,"100,120,140,160,180"
200,ELET6,SANB11,0.032686855619514996,95,0.64283490755399,16,0.4879088179248477,0.8427653354366906,0.33222829116111147,Short/Long,1,200
100,ELET6,SBSP3,0.04641708416958892,90,0.5050702843579691,62,0.5318262606356411,0.6391439670874267,0.702374555229383,Long/Short,1,100
200,ELET6,SULA11,0.04856996539612036,90,0.5158205203687993,41,0.4313474649347643,0.5274571500092633,0.3405984784735013,Long/Short,5,"120,140,160,180,200"
160,ELET6,TAEE11,0.02899704233876124,95,2.9824453523510153,46,0.40317874775739554,0.5000294315686085,0.32778391025635845,Long/Short,4,"100,120,140,160"
160,ELET6,TIMP3,0.026484633887304397,95,2.3681167548907753,42,0.5613104341163467,-0.04160377674941769,0.3631465518277668,Long/Short,4,"100,120,140,160"
200,ELET6,UGPA3,0.021922553582589797,95,1.1482550131418376,42,0.5329824915527012,0.6034541476419494,0.3114847689855962,Long/Short,5,"120,140,160,180,200"
200,ELET6,USIM5,0.021690080838030208,95,2.9162661115315,26,0.5245959442235608,0.7660882423334937,0.4003839552855774,Long/Short,3,"140,160,200"
180,ELET6,VIVT4,0.03257773237871818,95,1.0679759481233064,26,0.40779846895780386,0.577695754885503,0.005164393757537378,Long/Short,2,"160,180"
120,EMBR3,HGTX3,0.04247122665679274,95,0.7331356102925985,21,0.48884043228332164,0.9314312232256876,0.4069231320142862,Long/Short,2,"100,120"
180,EMBR3,IRBR3,0.031082607825611022,95,0.3351595165214171,49,0.5077514268840334,0.6951621133958624,0.6841560879660057,Long/Short,2,"160,180"
140,EMBR3,MULT3,0.04776849304440755,90,0.8137613512552089,21,0.30145864847083387,0.8679695627453005,0.4019502419277965,Long/Short,1,140
120,EMBR3,RADL3,0.04386659829858111,95,0.48241787010359827,239,0.6090565492029835,-0.18605058585781833,0.8041270748178918,Long/Short,2,"100,120"
120,EMBR3,SANB11,0.04931454508622509,90,0.6119031303344007,15,0.36392815360756103,0.9579248977523643,0.706298338337838,Long/Short,1,120
120,EMBR3,TIMP3,0.018615840420170733,95,2.8243729772542485,4172,0.6203331517750104,0.06678020499564272,0.8366693567727015,Long/Short,2,"100,120"
220,EMBR3,VIVT4,0.04197906033163401,95,0.9917600970610323,15,0.2287703488094387,0.7332813858062168,0.5330110497650156,Long/Short,7,"100,120,140,160,180,200,220"
100,ENBR3,ENGI11,0.0021296596838580183,99,0.3195309651251518,10,0.35170802858823813,0.9120764421268697,0.8633339965704894,Long/Short,1,100
100,ENBR3,EQTL3,0.014974725181376096,95,0.6732449557111617,30,0.5791183540641892,0.13463935867041732,0.36991521761452145,Long/Short,1,100
240,ENBR3,FLRY3,0.046292291444113266,95,0.5030003022536593,13,0.19637112177873606,0.8621123658905631,0.5689059555314795,Long/Short,8,"100,120,140,160,180,200,220,240"
200,ENBR3,GGBR4,0.02228403561338127,95,0.5703817388044262,12,0.2963402947173516,0.8567417073608358,0.906642240924468,Long/Short,6,"100,120,140,160,180,200"
200,ENBR3,GOAU4,0.01983623231428266,95,1.1761088580521422,9,0.27615005099832296,0.8964748332640378,0.9595809126784199,Long/Short,6,"100,120,140,160,180,200"
140,ENBR3,GOLL4,0.040241632500909334,95,0.22096353186190254,14,0.45438532465887027,0.7996759254020154,0.07689339896447651,Long/Short,2,"120,140"
120,ENBR3,HGTX3,0.034746364152500854,95,0.38011024768350354,22,0.5596802107573561,0.6789041684152629,0.09622013746369484,Short/Long,1,120
220,ENBR3,HYPE3,0.04062400707460943,95,0.5628825584354806,17,0.33356918515059764,0.6596960586589223,0.6848684689774267,Long/Short,3,"100,200,220"
250,ENBR3,IGTA3,0.0033893650406960005,99,0.23149162400220447,6,0.2876116026932034,0.9383052169953036,0.6330770105366115,Short/Long,9,"100,120,140,160,180,200,220,240,250"
140,ENBR3,IRBR3,0.027892696825658016,95,0.16985219654437714,22,0.530663078594832,0.40672429678149574,0.2493877254628413,Long/Short,3,"100,120,140"
140,ENBR3,ITSA4,0.035058701974189636,95,1.1561472791421896,15,0.4764659247339357,0.8165979010740005,0.09091337531314889,Short/Long,3,"100,120,140"
120,ENBR3,ITUB4,0.006460342985144074,99,0.5130523716132231,16,0.4929187172491906,0.7618480571470924,0.007319396224855467,Long/Short,2,"100,120"
250,ENBR3,LREN3,8.017333807814273e-05,99,0.2657214485950531,4,0.1463924470979889,0.9536566762464989,0.1812146262102695,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,ENBR3,MRVE3,0.0009853277614979845,99,0.6655658564913578,6,0.2213649058483137,0.9134687132658016,0.8263738819762063,Long/Short,7,"140,160,180,200,220,240,250"
