Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
120,BRML3,SANB11,-3.507020304331166,99,0.3270879658491495,0.8071495141896039,4,Long/Short,0.6991203858666358,4,"120,140,160,180"
100,BRML3,SBSP3,-3.8282772719391374,99,0.10097034404901849,0.35479146470346845,3,Short/Long,0.510631106071422,4,"100,120,160,180"
180,BRML3,SULA11,-2.9141258200433624,95,0.2799801703208331,1.3262072625174433,8,Short/Long,0.694231897003491,1,180
100,BRML3,SUZB3,-4.37928887697961,99,-0.14700703494010653,1.1123978027864592,2,Long/Short,-0.17020105350771586,2,"100,120"
100,BRML3,TAEE11,-3.4275819590835948,95,0.9000683558517537,1.4577750275923094,4,Long/Short,0.4360571987648476,9,"100,120,140,160,180,200,220,240,250"
100,BRML3,TIMP3,-3.500986850833579,99,0.8821326868384592,0.6921419022419567,3,Long/Short,0.41950366978236614,9,"100,120,140,160,180,200,220,240,250"
120,BRML3,TOTS3,-3.197430784738356,95,0.0038412080951978067,1.113995506820148,4,Long/Short,0.1395414296257817,1,120
100,BRML3,UGPA3,-3.719581958296958,99,0.6018286650944554,1.630249328234003,3,Long/Short,0.5721759248174205,8,"100,120,140,160,180,200,220,250"
120,BRML3,USIM5,-3.4895130334318574,99,0.4037889162727886,1.7306582904306997,4,Long/Short,0.618687742218736,5,"120,140,160,180,200"
100,BRML3,VALE3,-3.1143847956911244,95,0.1992198893009812,0.25014041165040063,4,Long/Short,0.17397291559148673,4,"100,120,140,160"
120,BRML3,VIVT4,-3.045287284382076,95,0.09721017155623177,0.9157991150008946,4,Long/Short,0.4226085362218175,8,"120,140,160,180,200,220,240,250"
100,BRML3,VVAR3,-3.137229858129719,95,0.36613195101676754,0.3762313026021749,4,Long/Short,0.4134243588486921,5,"100,120,140,160,180"
120,BRML3,WEGE3,-3.1453472708980788,95,0.0202491662376368,1.0051414795228701,4,Long/Short,0.42850607154749326,1,120
120,BTOW3,CCRO3,-3.2530158996871337,95,3.9313796963774204,2.4203923091341806,5,Long/Short,0.4511169495976204,5,"120,140,160,180,200"
120,BTOW3,CIEL3,-3.1858106241316437,95,-0.16959647557195034,2.521418353957132,6,Long/Short,0.31022239819165454,1,120
120,BTOW3,CMIG4,-3.0652735327978595,95,3.4485047450356276,2.3405932471644513,6,Long/Short,0.33108282455569193,3,"120,140,160"
120,BTOW3,COGN3,-2.9993234045992367,95,3.7403805406887445,1.8322004447399802,5,Long/Short,0.31653924714719067,4,"120,140,160,180"
100,BTOW3,CPFE3,-2.9067391821229442,95,2.5596308043988714,1.9187896294301447,5,Long/Short,0.20406046062475536,4,"100,120,140,160"
120,BTOW3,CRFB3,-3.2744664970695867,95,-1.4414251781345162,2.447824389089673,5,Long/Short,0.14301213342930777,1,120
140,BTOW3,CSAN3,-3.0533402667647613,95,0.7286299352819613,1.9325939289725598,6,Long/Short,0.6462815651632493,2,"140,160"
100,BTOW3,CSNA3,-3.440373080242544,95,-4.912702895143987,2.2570120963731304,3,Long/Short,0.11866392098717225,9,"100,120,140,160,180,200,220,240,250"
120,BTOW3,CVCB3,-3.0867301405122625,95,1.1902475672466704,2.09668293674863,5,Long/Short,0.21192501974068706,8,"120,140,160,180,200,220,240,250"
120,BTOW3,CYRE3,-2.9328261501871125,95,1.1205577712425434,2.1973139079990385,6,Long/Short,0.3479196936239737,3,"120,140,160"
120,BTOW3,ECOR3,-2.9109559032164705,95,3.4020344931258397,2.196410702594561,6,Long/Short,0.49815163158366416,3,"120,140,160"
120,BTOW3,EGIE3,-3.0387121070863317,95,1.020703646592293,2.465870177149301,6,Long/Short,0.33502133899129544,3,"120,140,160"
120,BTOW3,ELET3,-3.0576929613252597,95,0.9016621631879772,2.468113097462595,6,Long/Short,0.37783957942700747,8,"120,140,160,180,200,220,240,250"
120,BTOW3,ELET6,-3.0686791402747122,95,0.9976945232341149,2.4064484270394964,6,Long/Short,0.3513526160455731,8,"120,140,160,180,200,220,240,250"
120,BTOW3,EMBR3,-3.293317281574569,95,-1.562515788009673,2.5227563980947028,5,Long/Short,0.2572373600562751,2,"120,140"
120,BTOW3,ENBR3,-3.330796519351277,95,3.817118554900605,2.7959438349334746,5,Long/Short,0.38123949315211303,4,"120,140,160,180"
100,BTOW3,ENGI11,-3.002138978933373,95,1.6259043055806213,1.8076304340113378,4,Long/Short,0.18815124583533957,4,"100,120,140,160"
